"","ID","Age","Experience","Income","Family","CCAvg","Education","Mortgage","SecuritiesAccount","CDAccount","Online","CreditCard","PersonalLoan","ProbAccepting"
"33",116,65,39,160,4,3.8,1,237,0,0,1,0,NA,0.892857142857143
"34",312,47,21,109,4,1.8,1,0,0,0,0,0,NA,0.892857142857143
"35",359,48,23,173,3,0.2,1,0,0,1,1,1,NA,0.892857142857143
"36",401,64,39,172,4,3.1,1,282,0,1,1,1,NA,0.892857142857143
"37",405,30,4,142,3,4.2,1,359,0,0,0,0,NA,0.892857142857143
"38",483,41,16,114,4,3.5,1,0,0,0,0,1,NA,0.892857142857143
"39",236,28,3,115,4,3.1,2,0,0,0,0,0,NA,0.857142857142857
"40",246,65,40,114,4,3.4,2,0,0,0,0,1,NA,0.857142857142857
"41",244,33,7,81,2,4.5,3,187,0,1,1,1,NA,0.714285714285714
"42",52,30,5,98,2,3.1,1,220,0,0,1,0,NA,0.588235294117647
"43",70,29,3,103,4,3.4,1,0,0,0,1,0,NA,0.588235294117647
"44",78,48,22,98,2,6.3,1,0,0,0,0,0,NA,0.588235294117647
"45",89,46,20,104,1,5.7,1,0,0,0,1,1,NA,0.588235294117647
"46",228,60,34,101,3,4.4,1,0,0,0,1,1,NA,0.588235294117647
"47",11,27,2,112,4,1.8,3,0,1,0,1,0,NA,0.25
"48",24,39,14,113,1,1,3,0,1,0,1,0,NA,0.25
"49",30,29,3,108,4,1.8,2,0,0,0,0,0,NA,0.25
"50",134,27,2,109,4,1.8,3,0,0,0,0,0,NA,0.25
"51",224,31,7,113,2,2,2,315,0,0,0,0,NA,0.25
"52",323,32,6,111,2,1.5,3,0,0,0,0,0,NA,0.25
"53",339,25,-1,113,4,2.3,3,0,0,0,0,1,NA,0.25
"54",416,42,16,111,2,1.2,3,251,0,0,1,0,NA,0.25
"55",17,31,5,93,2,3.1,2,0,0,0,1,0,NA,0.1
"56",85,35,5,85,4,4,3,0,0,0,1,0,NA,0.1
"57",107,31,1,60,4,4,3,244,0,0,0,0,NA,0.1
"58",177,43,18,85,1,4,3,287,0,0,1,0,NA,0.1
"59",182,39,14,75,3,3,1,0,0,0,0,1,NA,0.1
"60",210,40,16,82,1,3.6,2,0,0,0,0,0,NA,0.1
"61",235,44,19,78,2,3.8,3,268,0,0,0,0,NA,0.1
"62",263,41,16,75,1,3.7,3,280,0,0,0,0,NA,0.1
"63",292,47,21,83,1,3.8,1,97,0,0,0,0,NA,0.1
"64",344,39,14,54,3,3,1,108,0,0,0,1,NA,0.1
"65",368,59,34,83,2,3.4,3,0,0,0,1,0,NA,0.1
"66",385,41,16,85,1,4,3,0,0,0,1,1,NA,0.1
"67",402,27,2,92,2,3.1,1,178,0,0,1,0,NA,0.1
"68",457,54,28,85,4,4.9,1,0,0,0,1,0,NA,0.1
"69",487,52,26,84,3,3,2,0,0,0,1,0,NA,0.1
"70",1,42,18,71,3,2.33333333333333,1,106,1,0,1,0,NA,0
"71",2,63,33,52,4,1.66666666666667,3,0,0,0,0,0,NA,0
"72",3,35,9,44,3,0.9,1,89,0,0,0,0,NA,0
"73",4,44,20,93,4,0.8,1,101,0,0,1,0,NA,0
"74",5,34,9,122,1,0,1,0,0,0,1,0,NA,0
"75",6,25,-1,82,4,2.1,3,0,0,0,1,0,NA,0
"76",7,30,3,61,4,2,2,0,0,0,1,0,NA,0
"77",8,27,1,25,4,0.3,2,0,0,0,1,1,NA,0
"78",9,55,29,55,1,0.2,1,151,0,0,1,0,NA,0
"79",10,46,19,24,3,0.666666666666667,2,0,0,0,1,0,NA,0
"80",13,41,17,38,4,2.2,2,180,0,0,0,1,NA,0
"81",14,61,35,80,2,2.8,1,0,0,0,1,0,NA,0
"82",16,60,34,15,1,0.8,2,0,0,0,1,0,NA,0
"83",18,33,7,101,1,2.7,2,233,0,0,0,0,NA,0
"84",19,37,12,62,3,0.7,2,0,0,0,0,1,NA,0
"85",20,49,25,22,4,0.2,1,83,0,0,1,0,NA,0
"86",21,35,9,20,2,1.4,3,0,0,0,1,1,NA,0
"87",22,39,15,41,2,1.7,1,0,0,0,0,0,NA,0
"88",23,53,29,69,4,1,2,0,0,0,1,0,NA,0
"89",25,42,15,24,3,1,2,0,0,0,1,1,NA,0
"90",26,35,5,22,1,0.666666666666667,3,103,0,0,0,0,NA,0
"91",27,29,5,62,1,1.2,1,260,0,0,1,0,NA,0
"92",28,44,20,180,2,7.6,1,524,0,0,0,1,NA,0
"93",29,31,7,38,1,0.2,3,0,0,0,1,0,NA,0
"94",31,39,13,50,2,2.4,2,0,0,0,0,0,NA,0
"95",32,36,11,64,4,2.1,3,0,0,0,0,0,NA,0
"96",33,28,2,19,4,0.4,1,0,0,0,1,1,NA,0
"97",34,52,28,25,4,1,1,0,0,0,0,0,NA,0
"98",35,62,37,39,2,2.8,1,113,0,1,1,1,NA,0
"99",36,48,22,35,1,1.4,3,0,0,0,1,0,NA,0
"100",38,31,4,41,1,2,2,0,1,0,1,0,NA,0
"101",39,34,8,35,4,0.8,1,137,0,1,1,1,NA,0
"102",40,62,36,119,2,2,1,0,0,0,0,0,NA,0
"103",41,28,3,135,2,3.3,1,0,0,0,0,1,NA,0
"104",42,39,13,80,2,1.8,1,0,0,0,1,0,NA,0
"105",43,45,19,71,4,2.9,1,218,0,1,1,1,NA,0
"106",44,33,8,45,2,0.1,1,0,0,0,0,1,NA,0
"107",45,57,32,21,4,0.9,2,113,1,0,0,0,NA,0
"108",46,52,28,83,1,0,1,0,0,0,1,0,NA,0
"109",47,32,7,52,2,0.1,1,0,0,0,1,0,NA,0
"110",48,56,32,88,2,0.3,1,0,0,0,1,0,NA,0
"111",49,40,14,42,2,0.7,1,101,0,0,1,0,NA,0
"112",50,34,8,82,1,2.7,2,251,0,0,1,0,NA,0
"113",51,62,32,19,1,1.5,3,0,1,0,0,0,NA,0
"114",53,45,20,40,1,0.5,3,0,1,0,1,0,NA,0
"115",54,41,14,74,3,2.33333333333333,2,0,0,0,1,0,NA,0
"116",55,55,29,79,3,0.8,1,0,0,0,1,1,NA,0
"117",56,30,5,123,2,3.1,1,0,0,0,1,0,NA,0
"118",57,49,24,13,1,0.4,3,101,1,0,0,0,NA,0
"119",58,62,38,35,1,1.9,2,118,0,0,0,0,NA,0
"120",59,60,35,108,1,0.9,1,0,1,0,0,0,NA,0
"121",60,40,14,58,4,0.2,3,0,0,0,1,0,NA,0
"122",61,40,14,74,4,1.4,2,0,0,0,1,0,NA,0
"123",62,53,28,74,3,2,2,0,1,0,0,0,NA,0
"124",63,41,16,19,2,0.3,2,105,0,0,0,0,NA,0
"125",64,61,36,40,3,0.5,2,0,1,0,1,0,NA,0
"126",65,58,32,85,2,2,1,161,1,1,1,1,NA,0
"127",66,60,34,108,2,2,1,359,0,0,1,0,NA,0
"128",67,44,20,68,1,0.8,3,91,0,0,0,0,NA,0
"129",68,60,34,64,1,0.8,2,248,0,0,0,0,NA,0
"130",69,48,24,20,1,1,1,0,0,0,1,1,NA,0
"131",71,62,37,19,4,0.4,2,124,1,0,0,0,NA,0
"132",72,37,13,78,4,0.1,2,0,0,0,1,0,NA,0
"133",74,31,5,11,1,0.4,2,76,0,0,0,1,NA,0
"134",75,42,17,19,2,0,3,85,0,0,1,1,NA,0
"135",76,41,15,58,3,0.5,3,0,0,0,1,0,NA,0
"136",77,24,-2,150,2,2,1,0,0,0,1,0,NA,0
"137",79,28,2,31,2,0.3,2,0,1,0,1,0,NA,0
"138",81,34,10,34,1,1.7,1,164,0,0,0,0,NA,0
"139",82,48,23,132,1,0.6,1,157,0,0,0,0,NA,0
"140",83,62,38,50,2,1.1,1,0,0,0,0,1,NA,0
"141",84,36,10,65,4,2.2,2,0,0,0,0,0,NA,0
"142",86,38,14,112,2,2.2,1,394,0,0,0,0,NA,0
"143",88,54,28,31,2,0.4,3,0,0,0,0,0,NA,0
"144",90,63,38,54,3,2.2,1,0,0,0,1,0,NA,0
"145",92,50,25,79,1,2.9,1,307,0,0,0,1,NA,0
"146",93,34,10,22,1,0.5,3,85,0,0,0,0,NA,0
"147",94,63,39,92,2,0,3,0,0,0,1,0,NA,0
"148",95,32,7,35,3,1.3,1,116,0,0,0,1,NA,0
"149",96,32,8,78,4,0.1,2,0,0,0,1,0,NA,0
"150",98,59,35,11,2,1,1,0,0,0,0,1,NA,0
"151",99,59,34,33,3,0.2,1,0,1,0,0,0,NA,0
"152",100,42,16,20,2,0.8,3,117,0,0,1,1,NA,0
"153",101,40,16,125,2,2.2,1,0,0,0,1,0,NA,0
"154",102,59,32,40,4,2.5,2,0,0,0,1,0,NA,0
"155",105,47,22,15,2,0.7,3,0,0,0,0,0,NA,0
"156",106,64,40,15,2,0.3,3,115,0,0,1,1,NA,0
"157",108,31,7,173,1,6,1,0,0,0,1,0,NA,0
"158",109,48,24,75,4,1.4,2,0,0,0,1,0,NA,0
"159",110,29,3,65,4,1.8,2,244,0,0,0,0,NA,0
"160",111,26,1,55,4,1.7,2,175,0,0,1,0,NA,0
"161",113,52,28,149,2,6.8,1,0,0,0,1,0,NA,0
"162",114,28,2,93,2,0.2,1,0,0,0,0,0,NA,0
"163",115,66,42,53,2,1.1,1,0,0,0,1,1,NA,0
"164",117,48,22,65,2,1.5,2,0,0,0,1,0,NA,0
"165",118,24,0,88,3,0.8,1,134,0,0,0,0,NA,0
"166",119,41,17,48,2,0.6,3,215,0,0,0,1,NA,0
"167",120,56,30,141,2,0.5,1,0,0,0,1,0,NA,0
"168",121,55,31,62,1,1.8,3,0,0,0,1,0,NA,0
"169",122,47,22,53,4,1.9,3,98,1,1,0,1,NA,0
"170",123,41,17,51,2,0.6,3,0,0,0,0,1,NA,0
"171",124,36,12,10,4,0.7,2,81,0,0,0,0,NA,0
"172",125,36,6,78,4,1.8,3,163,0,0,0,0,NA,0
"173",126,48,24,54,1,1.6,2,186,0,0,1,0,NA,0
"174",127,39,14,39,3,0.5,3,0,0,0,1,0,NA,0
"175",128,55,29,65,4,2.8,2,0,0,0,1,0,NA,0
"176",129,39,13,75,3,2.1,1,224,0,0,1,0,NA,0
"177",130,49,24,51,1,1.3,2,0,0,0,0,0,NA,0
"178",131,59,34,21,3,1.3,2,0,0,0,1,1,NA,0
"179",132,65,39,23,3,0.7,2,0,0,0,0,1,NA,0
"180",133,45,21,69,4,1.9,1,0,0,0,0,0,NA,0
"181",135,63,38,129,1,0.9,1,366,0,0,1,0,NA,0
"182",136,39,14,15,2,0.3,2,92,0,0,0,0,NA,0
"183",137,64,39,8,3,0.1,3,87,0,0,0,1,NA,0
"184",138,30,6,41,1,2.4,2,0,0,0,1,0,NA,0
"185",139,58,34,128,1,7.4,1,0,0,0,0,0,NA,0
"186",140,64,38,22,2,0.2,3,0,1,0,0,0,NA,0
"187",141,37,11,81,1,2.8,3,145,0,0,0,0,NA,0
"188",142,44,18,43,2,0.7,1,163,1,0,0,0,NA,0
"189",143,32,6,28,2,0.3,2,88,0,0,1,0,NA,0
"190",144,50,25,14,1,0.4,3,0,0,0,1,1,NA,0
"191",145,46,20,118,1,5.7,1,0,0,1,1,1,NA,0
"192",146,63,39,52,2,1.1,1,0,0,0,1,1,NA,0
"193",147,53,28,14,4,0.8,1,0,0,0,1,1,NA,0
"194",148,66,41,144,1,2.5,1,0,1,1,1,1,NA,0
"195",149,59,35,60,1,0,2,0,0,0,1,1,NA,0
"196",150,40,16,64,4,2.66666666666667,1,0,1,0,1,0,NA,0
"197",151,29,5,21,3,0.9,3,119,0,0,0,0,NA,0
"198",152,43,18,59,1,2.4,1,250,0,0,1,0,NA,0
"199",153,64,38,42,2,0.7,3,137,0,0,1,0,NA,0
"200",154,65,40,53,3,2.2,1,0,0,0,0,1,NA,0
"201",155,67,41,112,1,2,1,0,1,0,0,0,NA,0
"202",156,55,28,50,3,1,2,0,0,0,1,1,NA,0
"203",157,29,2,30,4,1,3,0,0,0,0,0,NA,0
"204",158,41,17,40,2,2.5,1,0,0,1,1,1,NA,0
"205",159,28,3,45,2,1.6,3,0,0,0,1,1,NA,0
"206",160,65,41,105,4,1.7,2,230,1,0,1,0,NA,0
"207",161,61,31,49,4,1.66666666666667,3,0,0,0,1,0,NA,0
"208",162,32,7,55,4,2,2,0,0,0,1,0,NA,0
"209",163,26,2,48,3,0.7,2,0,0,0,1,0,NA,0
"210",164,49,23,125,1,7.3,1,0,0,0,0,0,NA,0
"211",165,31,5,188,2,4.5,1,455,0,0,0,0,NA,0
"212",166,39,13,33,4,1.5,3,0,0,0,0,0,NA,0
"213",167,44,20,75,4,1.9,1,0,0,0,0,0,NA,0
"214",168,49,23,78,2,2.4,2,205,0,0,0,1,NA,0
"215",169,60,35,44,4,2.1,1,0,0,0,0,0,NA,0
"216",170,38,12,179,2,0,1,380,0,0,0,0,NA,0
"217",171,53,27,92,2,1.1,1,0,1,0,0,0,NA,0
"218",172,43,17,55,1,0.2,1,0,0,0,1,0,NA,0
"219",173,49,23,23,4,0.6,3,98,1,0,0,0,NA,0
"220",174,25,-1,81,2,1.6,3,0,0,0,1,1,NA,0
"221",175,30,4,35,2,0.3,2,0,1,0,0,1,NA,0
"222",176,54,28,33,2,0.7,2,0,0,0,0,1,NA,0
"223",178,57,33,25,2,1,1,0,0,0,1,0,NA,0
"224",179,51,27,21,3,0.4,1,0,0,0,1,0,NA,0
"225",180,60,36,54,4,2.3,3,0,1,0,0,0,NA,0
"226",181,31,5,22,1,0.6,3,0,0,0,0,0,NA,0
"227",183,41,16,111,2,0.4,1,0,0,0,0,0,NA,0
"228",184,51,26,28,4,0.2,2,0,1,0,1,0,NA,0
"229",185,58,32,191,1,2.9,1,0,0,0,0,0,NA,0
"230",186,30,6,141,2,4.33333333333333,1,0,0,0,0,0,NA,0
"231",187,39,15,11,1,1,1,0,0,0,0,0,NA,0
"232",188,46,22,28,1,1,1,84,0,0,1,1,NA,0
"233",189,64,39,129,1,2.5,1,0,0,0,1,0,NA,0
"234",190,63,33,34,1,1.5,3,0,0,0,1,1,NA,0
"235",192,44,19,70,1,0.1,2,0,0,0,0,0,NA,0
"236",193,57,33,30,3,1.5,1,151,1,0,1,0,NA,0
"237",194,46,22,18,1,0.9,3,0,0,0,1,0,NA,0
"238",195,46,20,39,1,0.2,1,0,0,0,0,0,NA,0
"239",196,51,26,145,1,8.1,1,397,0,0,0,1,NA,0
"240",198,41,15,38,2,0.7,1,91,0,0,1,0,NA,0
"241",199,37,11,60,3,0.5,3,0,0,0,1,0,NA,0
"242",200,31,7,64,1,1.2,1,0,0,0,1,0,NA,0
"243",201,25,1,21,3,1,2,0,0,0,0,0,NA,0
"244",202,51,27,39,2,0.8,1,182,0,0,0,1,NA,0
"245",203,42,18,115,1,3.5,1,0,0,0,0,1,NA,0
"246",204,64,39,73,3,2.4,1,185,0,0,0,0,NA,0
"247",205,31,7,84,1,0.1,1,0,0,0,1,0,NA,0
"248",206,29,4,115,1,1.9,1,0,0,0,0,0,NA,0
"249",208,25,1,13,4,1,1,95,0,0,0,1,NA,0
"250",209,64,39,23,3,0.5,1,0,1,0,0,0,NA,0
"251",212,62,37,92,3,0.5,1,310,0,0,1,0,NA,0
"252",213,29,5,72,3,0.7,2,81,0,0,0,0,NA,0
"253",214,36,11,133,1,3.8,1,290,1,1,1,1,NA,0
"254",215,34,10,42,1,1.5,2,131,0,0,0,0,NA,0
"255",216,30,6,18,3,0.9,3,0,0,0,0,0,NA,0
"256",217,63,38,103,1,2.5,1,0,0,0,1,0,NA,0
"257",218,54,30,69,1,1.6,3,0,0,0,1,1,NA,0
"258",219,26,2,40,1,1,3,0,0,0,1,0,NA,0
"259",221,45,20,154,2,2.8,1,0,1,0,1,0,NA,0
"260",222,61,36,61,2,2.8,1,0,0,0,0,0,NA,0
"261",223,44,19,74,4,1.9,3,0,0,0,0,0,NA,0
"262",225,40,15,52,3,0.8,3,113,0,0,1,0,NA,0
"263",226,44,19,154,2,8.8,1,0,0,0,1,0,NA,0
"264",227,51,25,29,1,0.3,3,140,0,0,0,0,NA,0
"265",229,39,13,25,3,0.2,2,0,0,0,1,0,NA,0
"266",230,61,36,21,4,0.4,2,123,0,0,0,0,NA,0
"267",231,65,39,121,1,2,1,0,0,0,0,0,NA,0
"268",232,61,37,64,1,0,2,0,0,0,0,1,NA,0
"269",233,24,-1,38,4,0.6,2,0,0,0,1,0,NA,0
"270",234,41,17,85,4,0.2,3,229,0,0,0,0,NA,0
"271",237,39,15,89,2,1.9,1,0,0,0,0,0,NA,0
"272",238,29,4,121,2,3.3,1,0,0,0,1,0,NA,0
"273",239,46,21,40,4,1.9,3,122,0,0,1,0,NA,0
"274",240,52,27,45,1,1.3,2,0,0,0,0,0,NA,0
"275",241,46,20,91,4,2.6,3,0,0,0,0,0,NA,0
"276",242,51,27,93,1,2.7,1,0,0,0,1,0,NA,0
"277",243,55,30,34,4,0.1,3,157,0,0,1,0,NA,0
"278",245,52,26,80,3,0.8,1,0,0,0,0,0,NA,0
"279",247,40,15,21,2,0,3,0,0,0,1,0,NA,0
"280",248,62,36,63,1,2.5,3,0,0,0,0,0,NA,0
"281",249,55,30,58,4,0.9,1,0,0,0,1,1,NA,0
"282",250,49,23,68,1,1.5,2,0,0,0,0,0,NA,0
"283",251,29,3,31,4,0.3,2,0,0,0,1,0,NA,0
"284",252,54,29,74,3,2,2,0,0,0,0,0,NA,0
"285",253,42,18,33,1,1.4,3,0,0,0,1,0,NA,0
"286",254,52,27,61,4,1.8,3,207,0,0,0,0,NA,0
"287",255,58,34,92,2,2.8,1,103,0,0,0,0,NA,0
"288",256,34,9,134,1,4.6,1,164,1,0,1,0,NA,0
"289",257,26,0,15,4,0.4,1,0,0,0,0,1,NA,0
"290",258,34,10,21,1,0.5,3,0,0,0,1,0,NA,0
"291",259,55,30,55,4,0.9,1,215,0,0,1,1,NA,0
"292",260,46,20,49,3,2.2,2,0,0,0,0,0,NA,0
"293",261,33,7,48,4,2.2,2,0,0,0,1,0,NA,0
"294",262,34,9,89,1,0,1,0,0,0,1,0,NA,0
"295",264,52,26,59,2,1.5,2,239,0,0,0,1,NA,0
"296",266,26,0,99,4,2.3,3,0,0,0,0,1,NA,0
"297",267,29,3,121,2,1.3,1,0,0,0,0,0,NA,0
"298",268,54,28,60,4,2.6,3,0,0,0,0,0,NA,0
"299",269,53,27,89,1,0.8,3,146,0,0,1,1,NA,0
"300",271,57,33,43,1,1.8,3,0,0,0,0,0,NA,0
"301",272,51,25,145,1,0.3,1,0,0,0,1,0,NA,0
"302",273,47,23,25,1,0.9,3,0,0,0,1,0,NA,0
"303",274,52,27,80,1,1.3,3,0,0,1,1,1,NA,0
"304",275,59,33,35,1,0.2,1,171,0,0,0,0,NA,0
"305",276,47,22,11,2,0,1,78,0,0,0,0,NA,0
"306",277,42,16,13,1,0.2,1,0,0,0,1,0,NA,0
"307",278,65,40,162,1,1.3,1,0,0,0,1,0,NA,0
"308",279,55,30,28,1,1.5,2,0,0,0,0,0,NA,0
"309",280,28,2,43,4,1.3,3,0,0,0,1,1,NA,0
"310",281,47,23,90,1,2.7,1,323,0,0,0,0,NA,0
"311",282,61,37,54,4,1.2,2,129,0,0,1,1,NA,0
"312",283,46,22,30,3,0.5,1,0,0,0,0,0,NA,0
"313",284,42,15,41,3,2.5,2,0,0,0,1,0,NA,0
"314",286,41,16,81,2,0.4,1,0,0,0,0,1,NA,0
"315",287,44,20,72,3,0.3,3,0,0,0,1,0,NA,0
"316",288,41,15,39,3,0.5,3,0,0,0,0,0,NA,0
"317",289,35,9,44,4,0.2,1,0,0,0,1,0,NA,0
"318",290,30,6,72,1,0.1,1,207,0,0,0,0,NA,0
"319",293,38,12,22,3,0.2,2,0,0,0,1,0,NA,0
"320",294,54,30,21,2,0.2,1,0,0,0,0,1,NA,0
"321",295,42,18,141,1,3.5,1,0,0,0,0,0,NA,0
"322",297,28,4,129,1,1.5,1,0,0,0,0,1,NA,0
"323",298,58,33,18,3,0.1,2,110,0,0,1,0,NA,0
"324",299,50,25,34,1,1.3,2,0,0,0,1,0,NA,0
"325",301,50,26,38,4,0.9,2,0,0,0,1,0,NA,0
"326",302,50,25,14,2,0.7,3,0,1,0,1,0,NA,0
"327",303,34,8,44,4,0.2,1,0,0,0,0,0,NA,0
"328",305,30,4,51,4,0.2,1,172,0,0,0,1,NA,0
"329",306,48,21,23,3,0.666666666666667,2,95,0,0,0,0,NA,0
"330",307,54,28,30,4,0.7,2,0,0,0,1,0,NA,0
"331",308,30,6,141,2,4.33333333333333,1,0,0,0,1,0,NA,0
"332",309,56,31,72,3,2,2,0,0,0,0,0,NA,0
"333",310,61,35,63,3,2.2,3,0,0,0,0,0,NA,0
"334",311,59,34,91,1,2.6,1,0,0,0,1,1,NA,0
"335",313,45,18,78,3,2.66666666666667,2,0,0,0,1,0,NA,0
"336",314,59,34,18,3,1.3,2,104,0,1,1,1,NA,0
"337",315,47,23,22,4,0.6,1,0,0,0,1,1,NA,0
"338",316,25,1,62,4,0,1,229,0,0,1,0,NA,0
"339",317,48,24,9,4,0.5,2,0,0,0,0,1,NA,0
"340",318,53,29,39,3,1.5,1,0,0,0,1,0,NA,0
"341",319,46,20,85,2,0.4,3,0,0,0,0,0,NA,0
"342",320,41,17,99,2,1.8,2,0,0,0,1,1,NA,0
"343",322,26,1,102,1,1.9,1,0,0,0,0,0,NA,0
"344",324,30,5,22,4,0.5,3,109,0,0,1,0,NA,0
"345",325,58,33,43,2,1.6,3,0,0,0,1,0,NA,0
"346",326,65,41,51,2,1.1,1,0,0,0,1,0,NA,0
"347",327,63,39,32,1,1.9,2,100,0,0,0,0,NA,0
"348",329,61,37,40,4,2.2,1,0,1,1,1,1,NA,0
"349",330,67,42,32,1,1.1,3,0,0,0,0,1,NA,0
"350",331,27,2,68,3,2.6,3,203,1,0,0,0,NA,0
"351",332,64,38,40,1,2.5,3,94,0,0,1,1,NA,0
"352",333,58,32,180,1,2.9,1,0,0,0,0,1,NA,0
"353",334,56,30,73,2,1.1,1,0,0,0,0,0,NA,0
"354",335,63,38,140,1,2.5,1,0,0,0,0,0,NA,0
"355",336,32,5,48,2,1.66666666666667,2,0,1,1,1,1,NA,0
"356",337,47,22,81,1,2.9,1,138,0,0,0,0,NA,0
"357",338,26,2,92,2,0.2,1,0,0,0,1,0,NA,0
"358",340,46,20,145,2,6.3,1,0,1,1,1,0,NA,0
"359",341,54,29,23,1,1.5,2,0,0,0,0,0,NA,0
"360",342,35,10,75,4,0.7,3,0,0,0,1,1,NA,0
"361",343,28,4,81,3,1.5,1,276,0,0,1,0,NA,0
"362",345,45,21,61,3,0.7,1,0,0,0,0,0,NA,0
"363",346,48,22,150,1,7.3,1,193,0,0,0,0,NA,0
"364",347,49,25,93,1,2.7,1,0,1,0,1,0,NA,0
"365",348,42,16,25,2,0.8,3,0,0,0,0,1,NA,0
"366",349,55,28,21,1,0.5,2,0,1,0,0,1,NA,0
"367",350,40,15,85,2,0.4,1,0,0,0,1,0,NA,0
"368",351,49,23,82,2,2.4,2,0,0,0,0,0,NA,0
"369",352,59,32,49,4,2.5,2,0,0,0,1,0,NA,0
"370",353,51,27,42,4,1.1,2,0,0,0,1,1,NA,0
"371",354,61,36,51,3,1.5,1,0,0,0,0,1,NA,0
"372",355,40,14,81,3,0.1,1,0,0,0,1,0,NA,0
"373",356,37,13,29,4,0.4,2,155,0,0,1,0,NA,0
"374",357,55,25,23,4,0.4,3,88,0,0,0,0,NA,0
"375",358,31,7,180,1,4.3,1,0,0,0,0,0,NA,0
"376",360,47,21,141,1,2.4,1,0,0,0,0,0,NA,0
"377",361,65,39,113,1,2,1,0,0,0,1,1,NA,0
"378",362,39,15,45,1,0.7,1,0,0,0,1,0,NA,0
"379",363,39,14,165,2,3.3,1,0,0,0,1,0,NA,0
"380",364,52,27,184,1,8.1,1,0,0,0,0,0,NA,0
"381",365,45,21,73,1,0.8,3,0,0,0,1,0,NA,0
"382",366,61,35,40,1,0.8,2,128,0,0,1,0,NA,0
"383",367,58,32,54,3,0.3,2,0,0,0,1,1,NA,0
"384",369,35,11,25,2,1,2,0,0,0,0,0,NA,0
"385",370,37,12,190,2,3,1,475,0,0,1,0,NA,0
"386",371,35,8,38,4,1,2,124,0,0,1,0,NA,0
"387",372,40,14,54,2,0.7,1,0,0,0,0,0,NA,0
"388",373,60,35,43,3,0.9,3,0,0,0,1,1,NA,0
"389",374,37,13,82,2,2.2,1,0,0,0,0,0,NA,0
"390",375,45,15,28,1,0.75,3,0,1,0,0,0,NA,0
"391",376,45,20,194,2,8.8,1,428,0,0,0,0,NA,0
"392",377,36,12,73,4,2,3,188,0,0,1,0,NA,0
"393",378,39,15,79,4,2.4,1,0,0,0,0,0,NA,0
"394",379,42,18,145,2,8,1,505,0,0,0,0,NA,0
"395",380,49,23,32,4,1.8,1,83,0,0,0,0,NA,0
"396",381,46,22,198,2,6.66666666666667,1,0,0,0,0,1,NA,0
"397",382,46,20,74,4,2.6,3,0,0,0,1,0,NA,0
"398",383,30,4,35,4,0.8,1,0,0,0,1,1,NA,0
"399",384,54,30,45,4,0.9,2,0,0,0,0,1,NA,0
"400",386,34,10,71,4,0.1,2,0,0,0,0,0,NA,0
"401",387,48,24,90,1,2.6,2,334,0,0,1,0,NA,0
"402",388,47,22,40,3,2.7,2,0,0,0,1,0,NA,0
"403",389,64,39,73,3,2.4,1,0,0,0,1,0,NA,0
"404",390,50,24,35,1,0.3,3,0,0,0,1,0,NA,0
