Monetary,Recency,Frequency,tenure,ID#
93,18,2,26,14879
246,8,1,8,14891
193,14,1,14,14892
379,8,8,54,14908
214,12,1,12,14915
281,2,10,38,14920
275,2,5,22,14930
160,14,2,16,14931
175,14,1,14,14976
192,14,5,24,14980
51,12,2,20,14991
303,26,1,26,15040
82,12,2,16,15050
260,10,1,10,15056
175,16,2,20,15068
203,20,2,24,15084
175,14,2,20,15101
180,16,8,52,15102
263,12,11,68,15152
213,12,2,14,15187
36,2,1,2,15194
365,6,11,46,15201
292,16,1,16,15253
79,20,2,24,15467
218,12,2,20,15525
287,10,11,74,15567
71,6,1,6,15615
189,22,2,28,15639
114,2,1,2,15669
67,16,1,16,15690
225,4,2,8,15703
193,10,10,40,15740
237,12,2,16,15771
62,10,2,12,15799
217,6,6,28,15814
224,12,8,48,15835
89,24,1,24,15879
268,2,1,2,15919
289,6,2,8,15927
208,36,1,36,15929
398,12,8,50,15988
256,20,1,20,16064
176,10,2,12,16099
120,22,4,46,16105
207,2,5,18,16106
253,10,8,54,16115
153,12,1,12,16119
233,12,10,52,16157
367,26,12,86,16224
266,16,12,84,16235
155,28,2,36,16302
221,28,5,42,16324
288,10,2,12,16333
121,10,1,10,16363
313,10,2,18,16364
129,4,1,4,16369
124,12,2,16,16395
266,10,8,50,16442
236,4,1,4,16455
51,18,2,26,16490
149,16,1,16,16539
213,34,7,56,16581
228,8,2,16,16597
102,12,1,12,16634
304,12,1,12,16636
332,22,6,50,16669
206,6,11,70,16682
148,2,2,4,16711
188,16,8,48,16719
389,24,9,52,16720
315,16,2,18,16742
173,10,8,36,16818
205,16,5,30,16823
269,18,2,20,16853
161,6,3,18,16859
462,22,11,86,16861
291,16,2,20,16890
79,14,5,26,16894
324,12,10,48,16897
259,8,12,36,16916
284,16,1,16,16934
326,28,2,30,16961
245,36,6,60,16981
177,12,1,12,17086
462,2,11,44,17099
158,8,2,12,17131
254,12,10,34,17140
107,4,2,10,17190
253,14,1,14,17213
130,14,7,38,17229
334,8,4,28,17232
145,24,2,30,17238
81,28,1,28,17292
381,2,9,48,17306
349,8,11,64,17316
367,4,10,40,17321
170,32,3,46,17330
277,10,1,10,17339
386,10,9,44,17347
208,12,2,16,17348
128,34,7,74,17381
348,14,9,48,17424
31,2,2,6,17447
287,24,2,26,17462
208,14,8,60,17479
145,14,2,18,17481
164,14,1,14,17509
257,4,5,22,17563
25,34,1,34,17564
31,4,2,8,17589
383,2,8,18,17597
90,2,2,6,17615
240,22,1,22,17625
309,12,2,20,17667
204,26,2,28,17674
211,28,8,68,17692
233,10,10,56,17693
294,12,12,64,17711
237,6,5,30,17723
308,4,2,6,17741
235,14,4,22,17747
285,6,11,72,17793
279,12,11,54,17803
258,4,2,8,17809
223,6,8,32,17857
157,36,2,38,17861
254,10,9,54,17877
136,10,2,16,17886
92,10,3,24,17902
46,8,1,8,17938
39,10,1,10,17975
167,12,2,18,17998
242,12,1,12,18017
323,6,7,32,18050
292,8,2,10,18054
130,26,8,42,18070
108,16,4,28,18072
274,20,9,44,18084
326,16,2,24,18145
93,10,1,10,18176
102,2,6,16,18225
282,4,5,30,18227
304,8,4,28,18279
240,10,11,74,18313
154,10,1,10,18338
215,28,1,28,18370
151,6,1,6,18394
187,6,1,6,18407
223,28,9,70,18422
333,32,9,76,18441
344,6,3,18,18462
157,16,1,16,18464
388,16,8,52,18501
312,14,1,14,18531
87,22,2,26,18536
284,16,2,18,18553
81,30,4,46,18607
106,2,2,6,18667
283,4,2,8,18689
76,2,1,2,18690
313,8,12,56,18706
341,6,9,50,18725
248,14,11,60,18765
266,12,5,22,18782
89,14,1,14,18805
379,24,8,52,18826
337,30,7,52,18906
217,2,2,8,18924
242,10,2,14,18927
43,12,1,12,18930
19,30,1,30,19012
134,2,2,6,19028
177,2,5,18,19035
294,12,5,34,19045
191,8,2,12,19053
200,12,12,36,19064
244,20,1,20,19066
25,4,1,4,19084
294,12,1,12,19121
333,12,12,82,19168
235,14,6,28,19196
48,4,2,12,19200
157,16,10,36,19254
354,16,12,74,19295
255,28,1,28,19299
280,16,1,16,19376
62,2,1,2,19445
226,12,4,22,19448
361,6,8,40,19486
199,14,1,14,19492
354,14,9,34,19497
206,22,1,22,19522
166,2,2,8,19545
422,34,11,66,19546
88,4,4,26,19550
207,12,9,58,19589
336,24,4,40,19610
354,16,12,46,19625
241,20,4,28,19641
378,2,10,56,19716
267,14,2,16,19719
144,10,1,10,19720
208,18,1,18,19765
270,10,2,14,19769
81,8,1,8,19776
255,22,2,30,19778
295,6,10,28,19797
112,20,2,28,19838
90,26,1,26,19874
258,10,2,18,19913
357,10,10,56,19922
340,16,4,24,19926
224,12,2,18,19928
37,20,2,26,19935
398,34,11,82,19982
416,10,9,52,20025
29,4,1,4,20035
279,8,1,8,20037
202,8,12,78,20064
393,32,8,56,20070
111,16,2,22,20076
39,12,2,20,20113
351,16,8,62,20114
359,4,7,42,20130
278,4,8,32,20166
298,10,4,28,20172
213,22,1,22,20175
101,16,2,24,20185
127,10,2,18,20196
185,10,9,48,20199
203,2,5,20,20201
278,12,1,12,20204
319,12,5,34,20205
108,10,4,30,20220
217,4,12,66,20229
434,10,9,58,20252
196,14,12,58,20271
41,14,1,14,20323
188,2,4,20,20332
196,2,4,10,20333
61,6,2,14,20337
190,2,8,32,20355
199,10,11,34,20366
207,14,2,18,20380
256,10,7,50,20435
56,12,2,16,20461
226,4,1,4,20478
88,4,2,12,20503
98,16,2,20,20510
328,8,2,10,20513
256,14,2,20,20560
368,14,12,74,20614
235,10,1,10,20626
291,12,12,62,20639
211,6,2,8,20643
323,4,2,6,20678
15,8,1,8,20727
200,4,9,28,20729
33,6,1,6,20749
126,18,2,20,20754
459,14,11,76,20768
316,4,7,38,20855
287,4,11,62,20929
299,8,10,44,20949
158,12,2,18,20957
268,14,12,80,20963
166,14,10,50,20979
167,28,1,28,21009
207,18,11,54,21014
72,12,2,18,21054
221,14,9,62,21069
150,14,9,66,21115
118,10,1,10,21137
222,16,1,16,21140
28,10,1,10,21154
68,14,2,20,21178
149,4,1,4,21189
80,10,1,10,21220
227,16,2,24,21266
132,34,1,34,21345
174,8,1,8,21352
266,24,2,26,21361
291,6,1,6,21362
235,16,2,24,21373
128,8,2,10,21407
345,14,11,78,21434
283,10,2,16,21438
306,32,2,38,21444
265,12,3,24,21453
121,14,2,22,21461
62,14,1,14,21474
306,12,12,78,21496
237,16,1,16,21536
178,2,1,2,21547
388,2,8,18,21552
161,12,2,14,21595
275,8,2,10,21651
58,10,1,10,21661
344,14,3,20,21691
210,2,1,2,21726
149,4,2,10,21732
171,16,2,20,21813
313,10,2,18,21838
373,16,5,36,21879
320,20,12,76,21893
52,14,2,18,21917
261,12,3,28,21936
138,12,5,26,21965
225,22,7,64,21977
158,4,2,10,21985
253,8,8,30,21994
256,28,2,34,22007
48,8,1,8,22016
222,14,8,36,22074
279,14,1,14,22137
160,34,2,38,22236
263,24,2,28,22268
162,6,10,64,22281
133,16,2,18,22283
276,12,12,60,22307
200,14,8,46,22325
186,22,2,28,22361
119,14,2,18,22388
295,16,2,18,22394
329,14,5,24,22406
194,20,1,20,22412
195,2,2,6,22439
110,4,7,30,22455
176,12,8,40,22495
62,36,1,36,22515
381,16,10,72,22532
386,34,8,68,22541
145,6,9,56,22547
207,4,2,8,22549
118,14,2,18,22568
32,28,1,28,22576
32,32,2,36,22592
153,16,10,64,22619
49,36,1,36,22638
198,12,12,60,22644
105,26,2,28,22650
270,24,2,28,22653
134,10,2,14,22680
405,16,12,78,22687
300,10,2,14,22691
90,14,1,14,22697
275,20,2,22,22771
40,12,1,12,22839
203,12,1,12,22843
42,18,2,24,22844
183,6,1,6,22853
164,16,1,16,22883
265,16,2,20,22907
84,2,1,2,22916
250,30,2,34,22948
62,10,1,10,22958
341,14,12,64,23008
288,16,1,16,23023
117,10,3,24,23036
206,2,9,34,23079
311,6,10,46,23091
175,22,1,22,23138
264,10,7,44,23259
134,4,6,24,23318
260,14,3,26,23374
157,4,2,8,23395
132,6,2,10,23402
138,10,7,44,23406
254,10,1,10,23451
183,8,5,34,23494
307,12,4,34,23547
150,16,5,36,23584
380,10,6,36,23589
255,8,2,12,23594
443,12,11,66,23611
19,22,1,22,23625
265,8,2,14,23680
335,6,12,74,23715
23,12,1,12,23772
426,32,9,58,23797
99,22,4,32,23808
232,4,6,36,23828
421,16,10,56,23840
251,14,7,50,23861
116,26,7,60,23885
203,12,8,48,23887
125,22,2,28,23922
194,32,2,40,23923
195,6,1,6,23924
196,14,1,14,23932
18,14,1,14,23935
256,14,12,54,23961
221,16,1,16,23968
26,26,1,26,23969
171,14,11,58,23977
412,8,11,68,24048
113,12,3,24,24058
193,2,1,2,24064
184,32,2,38,24066
213,12,2,16,24077
180,22,2,28,24091
304,12,1,12,24109
219,4,2,12,24142
147,8,1,8,24149
131,2,8,38,24176
24,16,1,16,24199
264,16,5,30,24203
242,16,6,42,24213
179,16,10,36,24259
120,10,1,10,24281
303,14,9,42,24284
258,32,2,40,24293
181,4,2,10,24326
221,16,3,30,24393
173,10,1,10,24439
263,4,1,4,24449
292,34,2,36,24468
47,18,1,18,24496
82,12,4,32,24499
305,22,4,34,24531
254,16,3,22,24552
163,26,1,26,24562
222,12,2,18,24610
223,16,8,50,24628
144,4,5,22,24642
109,14,2,18,24691
187,4,1,4,24744
288,16,2,18,24775
115,6,1,6,24786
221,34,2,40,24794
43,10,1,10,24832
325,16,2,22,24835
291,8,2,12,24839
170,28,6,60,24853
17,6,1,6,24860
267,16,1,16,24909
56,16,1,16,24934
235,4,6,18,24943
95,16,2,24,25031
365,6,10,30,25073
327,18,4,36,25089
362,26,9,50,25226
63,10,4,18,25239
131,2,2,6,25325
216,12,2,16,25340
98,12,2,18,25366
113,12,2,18,25420
210,12,2,18,25461
165,16,1,16,25463
254,10,2,16,25486
181,8,11,48,25536
306,8,12,72,25544
364,16,10,48,25592
349,14,9,50,25597
74,12,1,12,25615
149,16,4,26,25669
211,4,1,4,25673
123,10,5,24,25681
293,14,4,34,25702
227,26,2,30,25761
252,14,2,20,25763
40,16,1,16,25765
209,14,10,42,25773
218,12,1,12,25804
214,30,3,44,25825
278,16,12,54,25840
122,12,1,12,25859
158,14,5,36,25870
367,22,7,42,25883
195,16,12,52,25899
213,14,2,18,25964
170,14,2,20,25994
323,6,2,10,25998
49,12,2,14,26041
185,12,2,16,26055
127,10,1,10,26109
249,36,11,88,26111
247,10,3,18,26118
308,20,2,24,26148
228,10,1,10,26175
253,2,4,14,26237
326,8,10,36,26249
221,4,2,6,26313
233,12,1,12,26315
438,10,10,52,26356
235,20,5,42,26396
311,14,11,48,26405
87,16,2,22,26409
323,2,8,34,26455
97,10,2,14,26485
49,2,1,2,26486
381,8,7,38,26502
373,10,5,26,26518
259,14,2,18,26525
109,14,1,14,26529
367,6,9,24,26541
294,10,10,60,26554
77,14,2,20,26637
438,8,12,32,26697
265,26,2,30,26716
188,2,1,2,26771
96,22,1,22,26803
193,10,9,60,26831
71,4,1,4,26851
285,14,11,40,26863
142,12,1,12,26883
293,12,2,18,26896
172,14,6,26,26904
144,34,9,52,26915
75,4,2,8,26922
314,18,2,26,26935
223,36,3,48,26967
215,34,2,38,26996
198,10,9,48,27020
62,14,1,14,27031
159,30,5,44,27045
241,16,7,34,27051
161,6,10,60,27063
128,12,1,12,27100
220,10,2,14,27105
214,14,12,58,27170
377,16,7,50,27189
273,14,2,16,27198
293,28,3,36,27231
260,16,2,18,27240
363,12,7,46,27328
323,16,6,50,27394
148,8,7,36,27395
159,14,2,18,27404
293,16,4,34,27446
297,12,9,62,27501
337,16,9,62,27508
329,30,12,90,27522
285,14,9,56,27534
118,10,2,14,27560
222,10,2,12,27668
65,20,1,20,27693
83,10,4,22,27739
289,10,9,32,27769
59,22,2,30,27773
149,14,2,18,27788
18,10,1,10,27846
319,32,7,62,27904
168,14,2,16,27936
308,10,7,48,27966
172,28,2,32,27996
335,4,6,34,28034
309,4,1,4,28059
312,2,1,2,28062
100,2,6,16,28100
275,12,1,12,28127
82,28,3,34,28138
301,10,1,10,28144
303,16,1,16,28153
363,26,6,52,28182
18,6,1,6,28184
224,32,9,60,28216
201,4,1,4,28238
299,4,2,8,28242
274,32,2,36,28257
477,12,12,58,28290
304,4,10,32,28416
78,16,5,38,28444
281,16,2,20,28454
44,20,1,20,28463
268,2,2,10,28472
135,16,1,16,28509
123,22,5,48,28517
162,20,1,20,28527
234,12,12,68,28537
218,16,1,16,28620
117,24,1,24,28633
174,10,8,44,28639
382,16,6,38,28644
54,22,1,22,28649
18,10,1,10,28673
188,30,12,78,28717
209,6,2,12,28762
94,12,1,12,28845
297,26,2,30,28898
198,16,2,18,28913
175,8,9,34,28936
413,16,8,60,28952
313,26,5,42,28969
291,18,1,18,28977
99,10,2,14,29062
366,8,10,44,29089
205,24,5,38,29113
39,2,1,2,29156
144,10,2,12,29172
185,4,1,4,29194
301,18,2,24,29195
19,24,1,24,29215
427,10,9,36,29225
255,8,8,50,29232
238,16,8,42,29242
34,30,2,36,29260
195,4,1,4,29290
148,8,9,28,29296
98,4,2,8,29309
337,10,6,44,29324
375,4,12,30,29341
184,10,1,10,29366
104,8,1,8,29404
238,16,2,22,29406
154,8,7,34,29424
208,20,5,42,29444
352,16,5,36,29457
251,18,5,38,29494
197,22,1,22,29523
125,28,1,28,29532
192,16,2,20,29535
159,34,2,38,29539
425,26,9,72,29557
114,10,2,16,29570
42,2,1,2,29574
283,8,1,8,29603
355,14,5,34,29658
165,16,2,18,29692
300,16,2,18,29695
48,10,1,10,29698
174,14,2,22,29765
145,2,2,8,29786
19,14,1,14,29801
80,12,1,12,29802
321,16,2,20,29849
355,4,7,38,29853
146,12,1,12,29902
221,6,6,42,29926
285,6,5,30,29954
361,10,12,64,30006
287,10,2,12,30012
236,12,2,16,30034
196,14,1,14,30054
215,10,1,10,30068
143,32,1,32,30146
312,10,7,42,30156
338,14,6,30,30198
208,14,2,22,30213
39,28,2,30,30214
266,10,1,10,30280
198,12,6,30,30281
245,28,2,34,30318
38,24,1,24,30321
265,8,1,8,30331
121,8,1,8,30410
34,24,1,24,30494
272,10,9,58,30540
29,10,1,10,30627
448,12,11,66,30672
286,10,5,34,30691
276,14,11,42,30706
167,26,7,64,30743
195,12,10,68,30751
151,16,1,16,30774
154,34,2,36,30779
259,32,7,72,30841
93,28,1,28,30868
183,14,11,64,30875
137,10,2,18,30883
322,12,2,16,30890
247,22,7,58,30896
133,24,1,24,30932
195,22,2,24,30975
47,34,1,34,31085
162,26,2,30,31098
76,4,3,10,31139
194,16,2,22,31174
169,16,1,16,31207
104,14,1,14,31213
249,4,2,6,31221
187,10,9,34,31265
142,12,1,12,31267
295,6,2,10,31292
106,28,2,34,31387
182,4,4,26,31461
19,16,1,16,31476
111,4,1,4,31478
183,16,2,20,31487
